rank,finalWorth,category,personName,age,country,gender,source,status
611,4500,Manufacturing,Xu Jinfu,59,China,M,Chemicals,D
611,4500,Diversified,Samuel Yin,72,Taiwan,M,Retail,D
611,4500,Manufacturing,You Xiaoping & family,65,China,M,"Chemicals, spandex",D
624,4400,Healthcare,Stéphane Bancel,50,United States,M,"Biotech, vaccines",D
624,4400,Technology,Margot Birmingham Perot,89,United States,F,"Computer services, real estate",U
624,4400,Manufacturing,Neal Blue & family,88,United States,M,Defense,U
624,4400,Service,Jim Davis,63,United States,M,Staffing & recruiting,U
624,4400,Construction & Engineering,Rafael Del Pino,64,Spain,M,Construction,U
624,4400,Healthcare,Peter Grogg,81,Switzerland,M,Biochemicals,D
624,4400,Fashion & Retail,Christian Haub,58,Germany,M,Retail,E
624,4400,Real Estate,Mangal Prabhat Lodha,67,India,M,Real estate,D
624,4400,Sports,Jeffrey Lurie & family,71,United States,M,Philadelphia Eagles,U
624,4400,Finance & Investments,Joe Mansueto,66,United States,M,Investment research,D
624,4400,Manufacturing,Qian Dongqi & family,65,China,M,Home-cleaning robots,D
624,4400,Metals & Mining,Mikhail Shelkov,54,Russia,M,Titanium,U
636,4300,Telecom,Patrick Drahi,59,Switzerland,M,Telecom,D
636,4300,Finance & Investments,Behdad Eghbali,46,United States,M,Private equity,U
636,4300,Finance & Investments,Juan Carlos Escotet,63,Spain,M,Banking,U
636,4300,Finance & Investments,Jose E. Feliciano,49,United States,M,Private equity,U
636,4300,Healthcare,Hu Kaijun,61,China,M,Pharmaceuticals,U
636,4300,Logistics,Johnelle Hunt,91,United States,F,Trucking,D
636,4300,Food & Beverage,Marian Ilitch,90,United States,F,Little Caesars Pizza,D
636,4300,Diversified,Daryl Katz,61,Canada,M,Pharmacies,D
636,4300,Metals & Mining,Andrei Kozitsyn,62,Russia,M,Metals,U
636,4300,Finance & Investments,Timur Kulibaev,56,Kazakhstan,M,Banking,U
636,4300,Finance & Investments,Dinara Kulibaeva,55,Kazakhstan,F,Banking,U
636,4300,Real Estate,Ian Livingstone,60,,M,Real estate,Split Family Fortune
636,4300,Real Estate,Richard Livingstone,58,,M,Real estate,Split Family Fortune
636,4300,Food & Beverage,Gwendolyn Sontheim Meyer,61,United States,F,Cargill,D
636,4300,Real Estate,Jay Paul,75,United States,M,Real estate,U
636,4300,Diversified,Pham Nhat Vuong,54,Vietnam,M,Diversified,D
636,4300,Healthcare,Jon Stryker,64,United States,M,Medical equipment,U
636,4300,Finance & Investments,Daniel Tsai,66,Taiwan,M,Finance,D
636,4300,Finance & Investments,Richard Tsai,65,Taiwan,M,Finance,D
636,4300,Technology,Frank Wang,42,China,M,Drones,D
636,4300,Manufacturing,Wang Junshi & family,74,China,M,Solar inverters,D
636,4300,Technology,Wang Wenjing,58,China,M,Business software,D
636,4300,Finance & Investments,Herbert Wertheim,83,United States,M,Investments,U
659,4200,Service,Shari Arison,65,Israel,F,Carnival Cruises,D
659,4200,Finance & Investments,Pyotr Aven,68,Latvia,M,"Oil, banking, telecom",D
659,4200,Real Estate,Chan Laiwa & family,82,China,F,Real estate,D
659,4200,Real Estate,Chen Hua,57,China,M,Real estate,U
659,4200,Finance & Investments,Thomas Hagen,87,United States,M,Insurance,U
659,4200,Finance & Investments,"Rupert Johnson, Jr.",82,United States,M,Franklin Templeton,D
659,4200,Energy,Dewi Kam,72,Indonesia,F,Coal,N
659,4200,Technology,Min Kao & family,74,United States,M,Navigation equipment,D
659,4200,Finance & Investments,Marc Ladreit de Lacharriere,82,France,M,Finance,U
659,4200,Technology,Eric Lefkofsky,53,United States,M,"Groupon, investments",U
659,4200,Technology,Lin Bin,55,China,M,Smartphones,D
659,4200,Finance & Investments,Lin Li,59,China,M,Investments,D
659,4200,Technology,Michael Moritz,68,United States,M,Venture capital,D
659,4200,Service,Jean (Gigi) Pritzker,60,United States,F,"Hotels, investments",U
659,4200,Automotive,E. Joe Shoen,73,United States,M,U-Haul,U
659,4200,Technology,Jeff Skoll,58,United States,M,EBay,D
659,4200,Food & Beverage,Lynsi Snyder,40,United States,F,In-N-Out Burger,E
659,4200,Fashion & Retail,Djoko Susanto,73,Indonesia,M,Supermarkets,U
659,4200,Diversified,Tahir & family,71,Indonesia,M,Diversified,U
659,4200,Finance & Investments,Peter Thiel,55,United States,M,"Facebook, investments",D
679,4100,Food & Beverage,Andrej Babis,68,Czech Republic,M,Agriculture,D
679,4100,Service,Danielle Bellon & family,83,France,F,Food services,U
679,4100,Media & Entertainment,Hubert Burda,83,Germany,M,Publishing,U
679,4100,Food & Beverage,Nick Caporella,87,United States,M,Beverages,U
679,4100,Energy,John Catsimatidis,74,United States,M,"Oil, real estate",U
679,4100,Technology,Scott Cook,70,United States,M,Software,D
679,4100,Food & Beverage,Luca Garavoglia,54,Italy,M,Spirits,U
679,4100,Manufacturing,Antti Herlin,66,Finland,M,"Elevators, escalators",D
679,4100,Manufacturing,Hong Jie,55,China,M,Paint,U
679,4100,Service,"Jeremy Jacobs, Sr. & family",83,United States,M,Food service,U
679,4100,Fashion & Retail,Igor Kesaev,56,Russia,M,"Tobacco distribution, retail",U
679,4100,Food & Beverage,Mary Alice Dorrance Malone,73,United States,F,Campbell Soup,U
679,4100,Diversified,Joao Moreira Salles,61,Brazil,M,"Banking, minerals",U
679,4100,Finance & Investments,Walther Moreira Salles Junior,66,Brazil,M,"Banking, minerals",U
679,4100,Sports,Arturo Moreno,76,United States,M,"Billboards, Los Angeles Angels",U
679,4100,Manufacturing,Peter Spuhler,63,Switzerland,M,Train cars,D
679,4100,Real Estate,Donald Sterling,88,United States,M,Real estate,U
679,4100,Diversified,Kerry Stokes,82,Australia,M,"Construction equipment, media",D
679,4100,Technology,Ken Xie,60,United States,M,Cybersecurity,D
679,4100,Healthcare,Liangzhi Xie & family,57,China,M,Biotech,D
699,4000,Energy,Sid Bass,80,United States,M,"Oil, investments",U
699,4000,Technology,Ben Chestnut,48,United States,M,Email marketing,D
699,4000,Food & Beverage,Elisabeth DeLuca & family,75,United States,F,Subway,N
699,4000,Diversified,Guangchang Guo,56,China,M,Conglomerate,D
699,4000,Manufacturing,Vinod Rai Gupta,77,India,F,Electrical equipment,U
699,4000,Sports,John Henry,73,United States,M,Sports,U
699,4000,Technology,Travis Kalanick,46,United States,M,Uber,U
699,4000,Manufacturing,Koon Poh Keong,61,Malaysia,M,Aluminum,D
699,4000,Technology,Dan Kurzius,51,United States,M,Email marketing,D
699,4000,Manufacturing,Paul Lee,65,China,M,Battery separators,D
699,4000,Technology,Tobi Lutke,42,Canada,M,E-commerce,D
699,4000,Automotive,Gail Miller,79,United States,F,Car dealerships,U
699,4000,Telecom,Rajan Mittal,63,India,M,Telecom,Split Family Fortune
699,4000,Telecom,Rakesh Mittal,67,India,M,Telecom,Split Family Fortune
699,4000,Media & Entertainment,Isaac Perlmutter,80,United States,M,Marvel comics,D
699,4000,Finance & Investments,"Bernard Saul, II.",90,United States,M,"Banking, real estate",U
699,4000,Telecom,Shaul Shani,68,Italy,M,Telecom,D
699,4000,Media & Entertainment,Steven Spielberg,76,United States,M,Movies,U
699,4000,Healthcare,Jerzy Starak,75,Poland,M,Pharmaceuticals,E
699,4000,Energy,Torbjorn Tornqvist,69,Switzerland,M,Oil trading,U
699,4000,Metals & Mining,Rufino Vigil Gonzalez,74,Mexico,M,Steel,U
699,4000,Diversified,Zhang Daocai,73,China,M,Valves,U
721,3900,Manufacturing,Juergen Blickle,76,Germany,M,Auto parts,D
721,3900,Food & Beverage,"Austen Cargill, II.",72,United States,M,Cargill,D
721,3900,Food & Beverage,"James Cargill, II.",73,United States,M,Cargill,D
721,3900,Finance & Investments,Vanich Chaiyawan,91,Thailand,M,"Insurance, beverages",U
721,3900,Finance & Investments,Chen Dongsheng,65,China,M,Insurance,U
721,3900,Automotive,Mong-Koo Chung,85,South Korea,M,Hyundai,D
721,3900,Finance & Investments,Kenneth Dart,67,Cayman Islands,M,Investments,U
721,3900,Fashion & Retail,Giuseppe De'Longhi & family,83,Italy,M,Coffee makers,D
721,3900,Healthcare,Guenther Fielmann & family,83,Germany,M,Optometry,D
721,3900,Energy,W. Herbert Hunt,94,United States,M,Oil,D
721,3900,Sports,James Irsay,63,United States,M,Indianapolis Colts,U
721,3900,Diversified,Somurai Jaruphnit,,Thailand,F,Diversified,N
721,3900,Food & Beverage,Marianne Liebmann,69,United States,F,Cargill,D
721,3900,Healthcare,Jorge Moll Filho & family,78,Brazil,M,Hospitals,D
721,3900,Diversified,Fernando Roberto Moreira Salles,76,Brazil,M,"Banking, minerals",U
721,3900,Diversified,Pedro Moreira Salles,63,Brazil,M,"Banking, minerals",U
721,3900,Gambling & Casinos,Gabe Newell,60,United States,M,Videogames,E
721,3900,Fashion & Retail,Alfred Oetker,56,Germany,M,Consumer goods,U
721,3900,Fashion & Retail,Carl Ferdinand Oetker,50,Germany,M,Consumer goods,U
721,3900,Fashion & Retail,Julia Oetker,44,Germany,F,Consumer goods,U
721,3900,Manufacturing,Ruan Hongliang & family,62,China,M,Glass,D
721,3900,Finance & Investments,Mark Stevens,63,United States,M,Venture capital,D
721,3900,Finance & Investments,Tsai Hong-tu,70,Taiwan,M,Finance,D
721,3900,Food & Beverage,Nusli Wadia,79,India,M,Consumer goods,U
721,3900,Healthcare,Wu Yiling,73,China,M,Pharmaceuticals,E
721,3900,Manufacturing,Yu Renrong,57,China,M,Semiconductors,D
721,3900,Healthcare,Zhu Baoguo & family,60,China,M,Pharmaceuticals,D
748,3800,Service,Rahul Bhatia,63,India,M,Aviation,Split Family Fortune
748,3800,Construction & Engineering,Francesco Gaetano Caltagirone,80,Italy,M,"Cement, diversified",D
748,3800,Media & Entertainment,Barry Diller,81,United States,M,Online media,D
748,3800,Finance & Investments,Wesley Edens,61,United States,M,Investments,U
748,3800,Finance & Investments,Stephen Feinberg,63,United States,M,Private equity,U
748,3800,Service,Rakesh Gangwal,69,United States,M,Airline,D
748,3800,Food & Beverage,Joseph Grendys,61,United States,M,Poultry processing,U
748,3800,Media & Entertainment,Martha Ingram & family,87,United States,F,"Book distribution, transportation",D
748,3800,Automotive,Li Xiang,41,China,M,Electric vehicles,D
748,3800,Real Estate,"H. Ross Perot, Jr.",64,United States,M,Real estate,U
748,3800,Real Estate,Chandru Raheja,82,India,M,Real estate,U
748,3800,Energy,Trevor Rees-Jones,71,United States,M,Oil & gas,D
748,3800,Telecom,Yasumitsu Shigeta,58,Japan,M,Mobile phone retailer,U
748,3800,Healthcare,Su Qingcan,54,China,M,Healthcare,N
748,3800,Finance & Investments,Tsai Cheng-ta,73,Taiwan,M,Finance,D
748,3800,Service,Steven Udvar-Hazy,77,United States,M,Aircraft leasing,D
748,3800,Manufacturing,Elizabeth Uihlein,77,United States,F,Packaging materials,N
748,3800,Manufacturing,Richard Uihlein,77,United States,M,Packaging materials,N
766,3700,Finance & Investments,Hayes Barnard,51,United States,M,Fintech,N
766,3700,Finance & Investments,William Berkley,76,United States,M,Insurance,E
766,3700,Real Estate,Charles Cohen,71,United States,M,Real estate,U
766,3700,Real Estate,Yakir Gabay,56,United Kingdom,M,Real estate,D
766,3700,Technology,Huang Li,59,China,M,Imaging systems,D
766,3700,Logistics,Brad Jacobs,66,United States,M,Logistics,E
766,3700,Real Estate,Ji Qi,56,China,M,"Hotels, motels",U
766,3700,Media & Entertainment,Jason Jiang,50,China,M,Advertising,D
766,3700,Technology,Jim Kavanaugh,60,United States,M,IT provider,U
766,3700,Real Estate,Richard LeFrak & family,77,United States,M,Real estate,E
766,3700,Finance & Investments,Mikhail Lomtadze,47,Kazakhstan,M,Fintech,U
766,3700,Fashion & Retail,Tom Morris,68,United Kingdom,M,Retail,U
766,3700,Manufacturing,Shigenobu Nagamori,78,Japan,M,Motors,D
766,3700,Finance & Investments,Daniel Och,62,United States,M,Hedge funds,D
766,3700,Fashion & Retail,Horst Paulmann & family,88,Chile,M,Retail,U
766,3700,Service,Anthony Pritzker,62,United States,M,"Hotels, investments",E
766,3700,Technology,John Sall,75,United States,M,Software,U
766,3700,Food & Beverage,Howard Schultz,69,United States,M,Starbucks,D
766,3700,Fashion & Retail,Richard Schulze,82,United States,M,Best Buy,D
766,3700,Real Estate,Yitzhak Tshuva,74,Israel,M,Real estate,D
766,3700,Manufacturing,Wang Yanqing & family,56,China,M,Electrical equipment,D
787,3600,Diversified,Rajiv Bajaj,56,India,M,Diversified,Split Family Fortune
787,3600,Diversified,Sanjiv Bajaj,53,India,M,Diversified,Split Family Fortune
787,3600,Finance & Investments,Leonid Boguslavsky,71,Italy,M,Venture capital,D
787,3600,Finance & Investments,Jim Coulter,63,United States,M,Private equity,U
787,3600,Automotive,Nicolas D'Ieteren,47,Switzerland,M,"Auto parts, distribution",N
787,3600,Food & Beverage,Beatriz Davila de Santo Domingo,84,Bermuda,F,Beer,U
787,3600,Real Estate,Bob Gaglardi,82,Canada,M,Hotels,U
787,3600,Finance & Investments,Jaime Gilinski Bacal,65,United Kingdom,M,Banking,D
787,3600,Gambling & Casinos,Pansy Ho,60,Hong Kong,F,Casinos,U
787,3600,Finance & Investments,Alan Howard,59,Switzerland,M,Hedge funds,U
787,3600,Automotive,Huang Yi,61,China,M,Car dealerships,D
787,3600,Finance & Investments,Peter Kellogg,80,United States,M,Investments,E
787,3600,Finance & Investments,Vyacheslav Kim,53,Kazakhstan,M,Fintech,U
787,3600,Finance & Investments,Josh Kushner,37,United States,M,Venture capital,U
787,3600,Real Estate,Samuel Tak Lee,83,Hong Kong,M,Real estate,D
787,3600,Real Estate,Edwin Leong,71,Hong Kong,M,Real estate,D
787,3600,Finance & Investments,"Stephen Mandel, Jr.",67,United States,M,Hedge funds,D
787,3600,Diversified,Mohamed Mansour,75,United Kingdom,M,Diversified,U
787,3600,Fashion & Retail,Masahiro Miki,67,Japan,M,Shoes,U
787,3600,Technology,Masahiro Noda,84,Japan,M,Software,U
787,3600,Technology,Cliff Obrecht,37,Australia,M,Software,D
787,3600,Technology,Melanie Perkins,35,Australia,F,Software,D
787,3600,Finance & Investments,J.B. Pritzker,58,United States,M,"Hotels, investments",E
787,3600,Fashion & Retail,Juan Roig,73,Spain,M,Supermarkets,D
787,3600,Real Estate,Jerry Speyer & family,82,United States,M,Real estate,E
787,3600,Fashion & Retail,Lawrence Stroll,63,Switzerland,M,Fashion investments,U
787,3600,Logistics,Tung Chee Chen,80,Hong Kong,M,Shipping,E
787,3600,Food & Beverage,Wang Junlin,60,China,M,Liquor,D
787,3600,Automotive,Xia Zuoquan,61,China,M,"Automobiles, batteries",U
787,3600,Technology,Zeng Fangqin,57,China,F,Smartphone components,D
787,3600,Manufacturing,Zhang Jian,54,China,M,"Electric bikes, scooters",U
818,3500,Fashion & Retail,Rocco Basilico,33,United States,M,Eyeglasses,N
818,3500,Healthcare,Maurizio Billi,65,Brazil,M,Generic drugs,U
818,3500,Finance & Investments,Fashu Chen,62,China,M,Investments,D
818,3500,Manufacturing,Giuseppe Crippa & family,87,Italy,M,Microchip testing,U
818,3500,Finance & Investments,Daniel D'Aniello,76,United States,M,Private equity,D
818,3500,Fashion & Retail,Claudio Del Vecchio,66,United States,M,Eyeglasses,N
818,3500,Fashion & Retail,Clemente Del Vecchio,18,Italy,M,Eyeglases,N
818,3500,Fashion & Retail,Leonardo Maria Del Vecchio,27,Italy,M,Eyeglasses,N
818,3500,Fashion & Retail,Luca Del Vecchio,21,Italy,M,Eyeglasses,N
818,3500,Fashion & Retail,Marisa Del Vecchio,64,Italy,F,Eyeglasses,N
818,3500,Fashion & Retail,Paola Del Vecchio,61,Luxembourg,F,Eyeglasses,N
818,3500,Finance & Investments,Walter P.J. Droege,70,Germany,M,Investing,D
818,3500,Fashion & Retail,Fan Daidi,57,China,F,Skincare,N
818,3500,Technology,Peter Gassner,58,United States,M,Software,U
818,3500,Energy,Mikhail Gutseriev,65,Russia,M,"Oil, coal, real estate",U
818,3500,Manufacturing,Patrick Lee,81,Hong Kong,M,Paper,D
818,3500,Food & Beverage,Leng Youbin,54,China,M,Infant formula,D
818,3500,Finance & Investments,Daniel Loeb,61,United States,M,Hedge funds,D
818,3500,Food & Beverage,Margarita Louis-Dreyfus & family,60,Switzerland,F,Commodities,D
818,3500,Healthcare,Prasert Prasarttong-Osoth,90,Thailand,M,Hospitals,U
818,3500,Finance & Investments,Ira Rennert,88,United States,M,Investments,D
818,3500,Fashion & Retail,Dirk Rossmann & family,76,Germany,M,Drugstores,U
818,3500,Construction & Engineering,Arkady Rotenberg,71,Russia,M,"Construction, pipes, banking",U
818,3500,Fashion & Retail,Remo Ruffini,61,Italy,M,Winter jackets,U
818,3500,Healthcare,Karin Sartorius-Herbst,,Germany,F,Biopharmaceuticals,U
818,3500,Automotive,Vivek Chaand Sehgal,66,India,M,Auto parts,U
818,3500,Finance & Investments,Scott Shleifer,45,United States,M,Private equity,D
818,3500,Technology,Thomas Siebel,70,United States,M,Business software,E
818,3500,Manufacturing,Wim van der Leegte & family,75,Netherlands,M,Manufacturing,U
818,3500,Diversified,Xiao Yongming & family,58,China,M,Fertilizer,D
818,3500,Technology,Michael Xie,54,United States,M,Cybersecurity,U
818,3500,Logistics,Yang Shaopeng,65,China,M,Shipping,D
818,3500,Fashion & Retail,Nicoletta Zampillo,65,Monaco,F,Eyeglasses,N
818,3500,Manufacturing,Barry Zekelman,56,Canada,M,Steel,U
852,3400,Finance & Investments,William Ackman,56,United States,M,Hedge funds,U
852,3400,Energy,Somphote Ahunai,55,Thailand,M,Renewable energy,D
852,3400,Metals & Mining,Igor Altushkin,52,Russia,M,Metals,U
852,3400,Food & Beverage,Ramon Ang,69,Philippines,M,Diversified,U
852,3400,Food & Beverage,Acharya Balkrishna,50,India,M,Consumer goods,U
852,3400,Manufacturing,Markus Blocher,52,Switzerland,M,Chemicals,U
852,3400,Diversified,Richard Branson,72,British Virgin Islands,M,Virgin,D
852,3400,Finance & Investments,Cho Jung-ho,64,South Korea,M,Finance,U
852,3400,Food & Beverage,Alessandra Garavoglia,63,Italy,F,Spirits,U
852,3400,Fashion & Retail,Laurence Graff & family,84,Switzerland,M,Diamond jewelry,E
852,3400,Media & Entertainment,"Amos Hostetter, Jr.",86,United States,M,Cable television,D
852,3400,Sports,Robert Johnson,75,United States,M,"Johnson & Johnson, sports",N
852,3400,Finance & Investments,Steven Klinsky,66,United States,M,Investments,E
852,3400,Fashion & Retail,William Lauder,62,United States,M,Estee Lauder,D
852,3400,Food & Beverage,John Middleton,68,United States,M,Tobacco,E
852,3400,Fashion & Retail,Hiroshi Mikitani,58,Japan,M,Online retail,D
852,3400,Technology,Bob Parsons,72,United States,M,Web hosting,E
852,3400,Finance & Investments,J. Joe Ricketts & family,81,United States,M,TD Ameritrade,D
852,3400,Real Estate,Herb Simon,88,United States,M,Real estate,D
852,3400,Healthcare,Leena Tewari,65,India,F,Pharmaceuticals,D
852,3400,Media & Entertainment,Stefan von Holtzbrinck,59,Germany,M,Publishing,U
852,3400,Food & Beverage,Hans Peter Wild,81,Switzerland,M,Flavorings,D
852,3400,Healthcare,Wu Guanjiang & family,54,China,M,Pharmaceuticals,D
852,3400,Technology,Yi Zheng,52,China,M,Software,U
852,3400,Technology,Eric Yuan & family,53,United States,M,Zoom Video Communications,D
852,3400,Media & Entertainment,Charles Zegar,75,United States,M,Bloomberg LP,U
878,3300,Construction & Engineering,Mohed Altrad,75,France,M,"Scaffolding, cement mixers",D
878,3300,Finance & Investments,John Arnold,49,United States,M,Hedge funds,E
878,3300,Manufacturing,Bill Austin,81,United States,M,Hearing aids,U
878,3300,Manufacturing,Chen Shibin,56,China,M,Quartz products,U
878,3300,Food & Beverage,Bennett Dorrance,77,United States,M,Campbell Soup,U
878,3300,Food & Beverage,Walter Faria,68,Brazil,M,Beer,E
878,3300,Automotive,Walter Frey,79,Switzerland,M,Car dealerships,U
878,3300,Technology,Fu Liquan & family,55,China,M,Surveillance equipment,D
878,3300,Real Estate,John Gandel,88,Australia,M,Shopping malls,E
878,3300,Construction & Engineering,Peter Gilgan,72,Canada,M,Homebuilding,U
878,3300,Diversified,Kwek Leng Beng,82,Singapore,M,Diversified,U
878,3300,Finance & Investments,Pablo Legorreta,59,United States,M,Investments,D
878,3300,Media & Entertainment,Arnon Milchan,78,Israel,M,Movie making,D
878,3300,Fashion & Retail,Akio Nitori,79,Japan,M,Home furnishings,D
878,3300,Metals & Mining,Julio Ponce Lerou,77,Chile,M,Fertilizer,D
878,3300,Finance & Investments,Rodger Riney & family,77,United States,M,Discount brokerage,D
878,3300,Diversified,Phil Ruffin,88,United States,M,"Casinos, real estate",U
878,3300,Telecom,Naguib Sawiris,68,Egypt,M,Telecom,D
878,3300,Finance & Investments,Neil Shen,55,China,M,Venture capital,D
878,3300,Technology,Gil Shwed,54,Israel,M,Software,D
878,3300,Finance & Investments,Stephen Smith,71,Canada,M,Finance and investments,U
878,3300,Finance & Investments,Nik Storonsky,38,United Kingdom,M,Fintech,D
878,3300,Finance & Investments,Jeffrey Talpins,48,United States,M,Hedge fund,U
878,3300,Finance & Investments,Carl Thoma,74,United States,M,Investments,U
878,3300,Manufacturing,Todd Wanek,59,United States,M,Furniture,D
878,3300,Manufacturing,Xue Hua,53,China,M,Agribusiness,D
878,3300,Fashion & Retail,Takao Yasuda,73,Singapore,M,Retail,U
905,3200,Food & Beverage,Karen Virginia Beckmann Legoretta,53,,F,Tequila,U
905,3200,Fashion & Retail,Giuliana Benetton,85,Italy,F,"Fashion retail, investments",U
905,3200,Fashion & Retail,Luciano Benetton,87,Italy,M,"Fashion retail, investments",U
905,3200,Manufacturing,Arun Bharat Ram,82,India,M,Chemicals,D
905,3200,Finance & Investments,Ron Burkle,70,United Kingdom,M,"Supermarkets, investments",U
905,3200,Manufacturing,Chen Kaixuan,64,China,M,Household chemicals,D
905,3200,Fashion & Retail,Brunello Cucinelli & family,69,Italy,M,Fashion,U
905,3200,Manufacturing,Antonio Del Valle Ruiz & family,84,Mexico,M,Chemicals,D
905,3200,Healthcare,Gustavo Denegri & family,86,Italy,M,Biotech,Split Family Fortune
905,3200,Automotive,Dong Jinggui,53,China,M,Electric scooters,U
905,3200,Media & Entertainment,Charles Ergen,70,United States,M,Satellite TV,D
905,3200,Technology,David Filo,56,United States,M,Yahoo,D
905,3200,Logistics,Lindsay Fox,85,Australia,M,"Logistics, real estate",U
905,3200,Fashion & Retail,Sergei Galitsky,55,Russia,M,Retail,E
905,3200,Technology,Senapathy Gopalakrishnan,67,India,M,Software services,D
905,3200,Fashion & Retail,Luciano Hang,60,Brazil,M,Department stores,D
905,3200,Finance & Investments,Michael Hintze,69,United Kingdom,M,Investment,E
905,3200,Healthcare,Hu Baifan,60,China,M,Pharmaceuticals,D
905,3200,Finance & Investments,Hamilton James & family,71,United States,M,Investments,U
905,3200,Technology,Lee Boo-jin,52,South Korea,F,Samsung,D
905,3200,Manufacturing,Li Liangbin,55,China,M,Lithium,D
905,3200,Manufacturing,Liang Feng,54,China,M,Manufacturing,D
905,3200,Healthcare,Samir Mehta,59,India,M,"Pharmaceuticals, power",U
905,3200,Healthcare,Sudhir Mehta,68,India,M,"Pharmaceuticals, power",U
905,3200,Metals & Mining,Aristotelis Mistakidis,61,Switzerland,M,"Mining, commodities",D
905,3200,Real Estate,Geoffrey Palmer,72,United States,M,Real estate,N
905,3200,Automotive,Roger Penske,86,United States,M,Cars,U
905,3200,Construction & Engineering,Ravi Pillai,69,United Arab Emirates,M,Construction,U
905,3200,Finance & Investments,David Rubenstein,73,United States,M,Private equity,D
905,3200,Food & Beverage,Hilton Schlosberg,70,United States,M,Energy drinks,U
905,3200,Service,Klaus-Peter Schulenberg,71,Germany,M,Ticketing service,U
905,3200,Energy,Lynn Schusterman & family,84,United States,F,"Oil & gas, investments",D
905,3200,Manufacturing,Isabella Seràgnoli,77,Italy,F,Packaging,U
905,3200,Fashion & Retail,Shen Guojun,60,China,M,Retail,D
905,3200,Finance & Investments,Warren Stephens,66,United States,M,Investment banking,U
905,3200,Healthcare,Pat Stryker,66,United States,F,Medical equipment,U
905,3200,Logistics,Roman Trotsenko,52,Russia,M,"Transport, engineering, real estate",R
905,3200,Technology,Harald Tschira,48,Germany,M,Software,Split Family Fortune
905,3200,Technology,Udo Tschira,53,Germany,M,Software,Split Family Fortune
905,3200,Finance & Investments,Vincent Viola,67,United States,M,Electronic trading,D
905,3200,Food & Beverage,Wu Shaoxun,67,China,M,Wine,D
905,3200,Gambling & Casinos,Steve Wynn,81,United States,M,"Casinos, hotels",D
905,3200,Gambling & Casinos,Jon Yarbrough,65,United States,M,Video games,U
905,3200,Manufacturing,Zhou Bajin,87,China,M,Auto parts,D
949,3100,Manufacturing,Cho Tak Wong,76,China,M,Auto parts,D
949,3100,Gambling & Casinos,John Coates,53,United Kingdom,M,Online gambling,U
949,3100,Finance & Investments,Ryan Cohen,37,United States,M,Investments,U
949,3100,Food & Beverage,Deng Wen,55,China,M,Flavorings,U
949,3100,Manufacturing,Gurbachan Singh Dhingra,72,India,M,Paints,D
949,3100,Manufacturing,Kuldip Singh Dhingra,75,India,M,Paints,D
949,3100,Finance & Investments,Martin Ebner,77,Switzerland,M,Investments,D
949,3100,Manufacturing,Charles Edelstenne,85,France,M,Aviation,D
949,3100,Real Estate,Sergei Gordeev,50,Russia,M,Real estate,U
949,3100,Media & Entertainment,Jeff T. Green,46,United States,M,Digital advertising,D
949,3100,Technology,Reed Hastings,62,United States,M,Netflix,D
949,3100,Service,Bertil Hult,82,Switzerland,M,Education,D
949,3100,Fashion & Retail,Miguel Krigsner,73,Brazil,M,Cosmetics,D
949,3100,Manufacturing,Kuok Khoon Hong,73,Singapore,M,Palm oil,D
949,3100,Fashion & Retail,Aerin Lauder,52,United States,F,Estee Lauder,D
949,3100,Food & Beverage,Sheldon Lavin,90,United States,M,Meat processing,U
949,3100,Manufacturing,Yin Yee Lee,71,Hong Kong,M,Glass,D
949,3100,Manufacturing,Vladimir Litvinenko & family,67,Russia,M,Chemical industry,R
949,3100,Metals & Mining,Daniel Mate,59,Switzerland,M,"Mining, commodities",D
949,3100,Fashion & Retail,Ravi Modi,46,India,M,Readymade garments,U
949,3100,Diversified,Farhad Moshiri,67,Monaco,M,Diversified,U
949,3100,Finance & Investments,Jonathan Nelson,66,United States,M,Private equity,U
949,3100,Real Estate,Or Wai Sheun,71,Hong Kong,M,Real estate,D
949,3100,Real Estate,Katharina Otto-Bernstein,59,United States,F,Real estate,D
949,3100,Finance & Investments,Sergei Popov,51,Switzerland,M,Banking,E
949,3100,Finance & Investments,Penny Pritzker,63,United States,F,"Hotels, investments",D
949,3100,Diversified,Theodore Rachmat,79,Indonesia,M,Diversified,D
949,3100,Fashion & Retail,Renzo Rosso & family,67,Italy,M,Fashion,D
949,3100,Media & Entertainment,Friede Springer,80,Germany,F,Publishing,D
949,3100,Real Estate,Rita Tong Liu,74,Hong Kong,F,Real estate,D
949,3100,Finance & Investments,Timur Turlov,35,Kazakhstan,M,Stock brokerage,U
949,3100,Fashion & Retail,Frank VanderSloot,74,United States,M,"Nutrition, wellness products",U
949,3100,Media & Entertainment,Yoo Jung-hyun,53,South Korea,F,Online games,U
982,3000,Diversified,Abdulla bin Ahmad Al Ghurair & family,,United Arab Emirates,M,Diversified,U
982,3000,Diversified,Semahat Sevim Arsel,94,Turkey,F,Diversified,U
982,3000,Real Estate,Nicolas Berggruen,61,United States,M,"Real estate, investments",U
982,3000,Energy,George Bishop,85,United States,M,Oil & gas,U
982,3000,Automotive,Norman Braman,90,United States,M,"Art, car dealerships",U
982,3000,Technology,Eva Maria Bucher-Haefner,66,Switzerland,F,"Software, investments",E
982,3000,Healthcare,Cai Dongchen,70,China,M,Pharmaceuticals,D
982,3000,Food & Beverage,Jean-Pierre Cayard,80,France,M,Spirits,U
