rank,finalWorth,category,personName,age,country,gender,source,status
486,5400,Finance & Investments,Mat Ishbia,43,United States,M,Mortgage lender,U
486,5400,Technology,Leo Koguan,68,Singapore,M,IT provider,D
486,5400,Diversified,Miao Hangen,58,China,M,"Textiles, petrochemicals",D
486,5400,Manufacturing,Michael Pieper,77,Switzerland,M,Kitchen appliances,U
486,5400,Fashion & Retail,Miuccia Prada,73,Italy,F,Luxury goods,U
486,5400,Fashion & Retail,Wolfgang Reimann,70,Germany,M,Consumer goods,D
486,5400,Fashion & Retail,Matthias Reimann-Andersen,58,Germany,M,Consumer goods,D
486,5400,Fashion & Retail,Stefan Reimann-Andersen,59,Austria,M,Consumer goods,D
486,5400,Fashion & Retail,Renate Reimann-Haas,71,Austria,F,Consumer goods,D
497,5300,Finance & Investments,Todd Boehly,49,United States,M,Finance,U
497,5300,Real Estate,Rick Caruso,64,United States,M,Real estate,U
497,5300,Manufacturing,Ibrahim Erdemoglu,60,Turkey,M,Carpet,U
497,5300,Finance & Investments,Elizabeth Johnson,59,United States,F,Fidelity,U
497,5300,Finance & Investments,Douglas Leone,65,United States,M,Venture capital,D
497,5300,Diversified,Prajogo Pangestu,78,Indonesia,M,Petrochemicals,D
497,5300,Finance & Investments,Thomas Pritzker,72,United States,M,"Hotels, investments",U
497,5300,Food & Beverage,Lynda Resnick,80,United States,F,Agriculture,Split Family Fortune
497,5300,Food & Beverage,Stewart Resnick,86,United States,M,Agriculture,Split Family Fortune
497,5300,Service,Gary Rollins,78,United States,M,Pest control,E
497,5300,Finance & Investments,Mark Walter,62,United States,M,"Finance, asset management",U
497,5300,Manufacturing,Ronald Wanek,81,United States,M,Furniture,D
497,5300,Food & Beverage,Erich Wesjohann & family,77,Germany,M,Poultry genetics,D
497,5300,Fashion & Retail,M.A. Yusuff Ali,67,United Arab Emirates,M,Retail,D
511,5200,Finance & Investments,Alexandre Behring,56,United States,M,Investments,U
511,5200,Food & Beverage,Cheng Xue,53,China,F,Soy sauce,D
511,5200,Real Estate,Robert Faith,59,United States,M,Real estate management,N
511,5200,Fashion & Retail,Gao Dekang & family,71,China,M,Apparel,U
511,5200,Fashion & Retail,Micky Jagtiani,71,United Arab Emirates,M,Retail,U
511,5200,Telecom,Ananda Krishnan,85,Malaysia,M,"Telecoms, media, oil-services",D
511,5200,Technology,Barry Lam,73,Taiwan,M,Electronics,D
511,5200,Food & Beverage,"Robert Rich, Jr.",82,United States,M,Frozen foods,U
511,5200,Gambling & Casinos,Mark Scheinberg,49,United Kingdom,M,Online gambling,D
511,5200,Technology,Charles Simonyi,74,United States,M,Microsoft,D
511,5200,Real Estate,Ty Warner,78,United States,M,"Plush toys, real estate",U
511,5200,Real Estate,Sam Zell,81,United States,M,"Real estate, private equity",D
523,5100,Manufacturing,Fang Wei,49,China,M,Steel,U
523,5100,Finance & Investments,Rekha Jhunjhunwala,59,India,F,Investments,N
523,5100,Finance & Investments,Charles B. Johnson,90,United States,M,Franklin Templeton,E
523,5100,Media & Entertainment,Kwon Hyuk-bin,49,South Korea,M,Online games,D
523,5100,Finance & Investments,Sami Mnaymneh,61,United States,M,Private equity,U
523,5100,Logistics,Kjell Inge Rokke,64,Norway,M,"Shipping, seafood",D
523,5100,Finance & Investments,Tony Tamer,65,United States,M,Private equity,U
523,5100,Healthcare,Tse Ping & family,71,Hong Kong,M,Pharmaceuticals,D
523,5100,Technology,Romesh T. Wadhwani,75,United States,M,Software,U
523,5100,Healthcare,Hansjoerg Wyss,88,United States,M,Medical devices,U
523,5100,Sports,Denise York & family,72,United States,F,San Francisco 49ers,U
534,5000,Finance & Investments,Ron Baron,79,United States,M,Money management,U
534,5000,Energy,Robert Bass,75,United States,M,"Oil, investments",D
534,5000,Healthcare,Dona Bertarelli,55,Switzerland,F,Biotech and investments,U
